Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643690.9,0,42.31,2.572,211.096358,8.106
1,12-02-2010,1641957.44,1,38.51,2.548,211.242169,8.106
1,19-02-2010,1611968.17,0,39.93,2.514,211.289429,8.106
1,26-02-2010,1409727.59,0,46.63,2.561,211.319643,8.106
1,05-03-2010,1554806.68,0,46.5,2.625,211.350429,8.106
1,12-03-2010,1439541.59,0,57.79,2.667,211.380042,8.106
1,19-03-2010,1472515.79,0,54.58,2.72,211.215635,8.106
1,26-03-2010,1404429.92,0,51.45,2.732,211.018042,8.106
1,02-04-2010,1594968.28,0,62.27,2.719,210.820449,7.808
1,09-04-2010,1544815.53,0,65.86,2.77,210.622857,7.808
1,16-04-2010,1466058.28,0,66.32,2.808,210.4887,7.808
1,23-04-2010,1391256.12,0,64.84,2.795,210.439128,7.808
1,30-04-2010,1425107.71,0,67.41,2.78,210.395445,7.808
1,07-05-2010,1603955.12,0,72.55,2.835,210.339968,7.808
1,14-05-2010,1494251.5,0,74.78,2.854,210.337426,7.808
1,21-05-2010,1399662.07,0,76.44,2.826,210.617093,7.808
1,28-05-2010,1432069.95,0,80.44,2.759,210.89676,7.808
1,04-06-2010,1615524.71,0,80.69,2.705,211.176478,7.808
1,11-06-2010,1542561.09,0,80.43,2.668,211.456071,7.808
1,18-06-2010,1503284.06,0,84.11,2.637,211.453779,7.808
1,25-06-2010,1422711.6,0,84.34,2.653,211.338652,7.808
1,02-07-2010,1492418.14,0,80.91,2.669,211.223533,7.787
1,09-07-2010,1546704.18,0,80.48,2.642,211.108014,7.787
1,16-07-2010,1448938.92,0,83.15,2.623,211.100385,7.787
1,23-07-2010,1385065.2,0,83.36,2.608,211.235143,7.787
